PII,Table,Present_in_table_itself,Present_in_table_wID,tables_Description,title_of_paper,Abstract,Introduction,Methodology,Results,ID_in_text,Equational_Composition
S0040609004014671,1,0,0,1,1,1,1,1,1,0,0
S0272884221031710,2,0,1,1,1,1,0,1,1,1,0
S0040609096094321,2,0,1,1,1,1,1,1,1,1,0
S0022309314001793,4,0,1,1,0,0,0,1,0,1,1
S0022311523001824,6,0,1,0,1,1,1,0,0,1,1
S1293255814002568,1,0,1,0,1,1,1,0,0,1,0
S1293255811003785,1,1,0,1,1,1,1,1,1,0,0
S0272884217300780,2,0,1,0,0,0,0,1,0,1,1
S0022369701000816,2,1,0,0,1,1,1,1,1,0,1
S1293255814002015,1,1,0,1,1,1,1,1,1,0,0
S0272884223026500,1,1,1,0,1,1,1,1,1,1,0
S0022311504005367,3,1,1,0,0,0,0,1,1,1,1
S0272884223003978,2,1,1,1,1,1,1,1,1,1,0
S0167577X05004799,1,0,0,0,0,0,0,0,0,0,0
S0167577X06001327,1,1,0,1,1,1,1,1,1,0,1
S0167577X06005520,5,0,0,0,0,0,0,0,0,0,0
S027288422202274X,2,0,0,0,0,0,0,0,0,0,0
S129325580700413X,5,0,0,0,0,0,0,0,0,0,0
S0022231310004898,1,0,0,0,0,0,0,0,0,0,0
S0040609007004142,1,0,0,0,0,0,0,0,0,0,0
S0022309321002969,1,0,0,0,0,0,0,0,0,0,0
S0925346721011216,1,0,0,0,0,0,0,0,0,0,0
S0167273806004991,4,0,0,0,0,0,0,0,0,0,0
S0925346706002503,1,0,0,0,0,0,0,0,0,0,0
S1293255820302259,3,0,0,0,0,0,0,0,0,0,0
S0022309319302340,3,0,0,0,0,0,0,0,0,0,0
S0022309320306189,1,0,0,0,0,0,0,0,0,0,0
S003810982200134X,2,0,0,0,0,0,0,0,0,0,0
S0925346718302520,2,0,0,0,0,0,0,0,0,0,0
S0272884221003473,3,0,0,0,0,0,0,0,0,0,0
S0022369722006102,3,0,0,0,0,0,0,0,0,0,0
S0272884220301073,3,0,0,0,0,0,0,0,0,0,0
S0038109820305019,1,0,0,0,0,0,0,0,0,0,0
S0925346720302809,1,0,0,0,0,0,0,0,0,0,0
S0272884216300542,4,0,0,0,0,0,0,0,0,0,0
S016727381530237X,3,0,0,0,0,0,0,0,0,0,0
S0040609002007204,1,0,0,0,0,0,0,0,0,0,0
S0167577X99000282,1,0,0,0,0,0,0,0,0,0,0
S0038109806004674,1,0,0,0,0,0,0,0,0,0,0
S002245962100308X,2,0,0,0,0,0,0,0,0,0,0
S0022369722003067,3,0,0,0,0,0,0,0,0,0,0
S027288421402029X,2,0,0,0,0,0,0,0,0,0,0
S002223131530291X,3,0,0,0,0,0,0,0,0,0,0
S0022459613000169,5,0,0,0,0,0,0,0,0,0,0
S0040609012014320,1,0,0,0,0,0,0,0,0,0,0
S0022369707001394,2,0,0,0,0,0,0,0,0,0,0
S0040609099008147,4,0,0,0,0,0,0,0,0,0,0
S0040609014001072,1,0,0,0,0,0,0,0,0,0,0
S0272884216316327,4,0,0,0,0,0,0,0,0,0,0
S027288421500975X,3,0,0,0,0,0,0,0,0,0,0
S0022309310001523,4,0,0,0,0,0,0,0,0,0,0
S0022311523001824,5,0,0,0,0,0,0,0,0,0,0
S0022459603005711,1,0,0,0,0,0,0,0,0,0,0
S0272884222004497,3,0,0,0,0,0,0,0,0,0,0
S0022311509004164,1,0,0,0,0,0,0,0,0,0,0
S0022311503003234,2,0,0,0,0,0,0,0,0,0,0
S0272884223034582,1,0,0,0,0,0,0,0,0,0,0
S0040609005022650,1,0,0,0,0,0,0,0,0,0,0
S0022311505002096,2,0,0,0,0,0,0,0,0,0,0
S0272884215005635,2,0,0,0,0,0,0,0,0,0,0
S0167273803001449,1,0,0,0,0,0,0,0,0,0,0
S0167273808006176,2,0,0,0,0,0,0,0,0,0,0
S0272884217302894,2,0,0,0,0,0,0,0,0,0,0
S1293255808003282,3,0,0,0,0,0,0,0,0,0,0
S027288420300172X,1,0,0,0,0,0,0,0,0,0,0
S0272884210000131,1,0,0,0,0,0,0,0,0,0,0
S003810980000243X,1,0,0,0,0,0,0,0,0,0,0
S0272884206000927,1,0,0,0,0,0,0,0,0,0,0
S0272884218321217,1,0,0,0,0,0,0,0,0,0,0
S0022231313006947,4,0,0,0,0,0,0,0,0,0,0
S002231152200410X,2,0,0,0,0,0,0,0,0,0,0
S0022311516307103,1,0,0,0,0,0,0,0,0,0,0
S0040609007004701,1,0,0,0,0,0,0,0,0,0,0
S0272884216311920,3,0,0,0,0,0,0,0,0,0,0
S0272884220319878,3,0,0,0,0,0,0,0,0,0,0
S0167273821002216,2,0,0,0,0,0,0,0,0,0,0
S0022311502012928,1,0,0,0,0,0,0,0,0,0,0
S0022459615000663,2,0,0,0,0,0,0,0,0,0,0
S0022231323002168,4,0,0,0,0,0,0,0,0,0,0
S0022231313003566,1,0,0,0,0,0,0,0,0,0,0
S0040609018300749,2,0,0,0,0,0,0,0,0,0,0
S0022311512006344,1,0,0,0,0,0,0,0,0,0,0
S0167577X06007804,1,0,0,0,0,0,0,0,0,0,0
S0040609005000568,1,0,0,0,0,0,0,0,0,0,0
S0167577X05011511,2,0,0,0,0,0,0,0,0,0,0
S0272884218313580,1,0,0,0,0,0,0,0,0,0,0
S0167273800007554,3,0,0,0,0,0,0,0,0,0,0
S0022311501006201,2,0,0,0,0,0,0,0,0,0,0
S0022459617303274,5,0,0,0,0,0,0,0,0,0,0
S0040609002011203,3,0,0,0,0,0,0,0,0,0,0
S0925346708000797,1,0,0,0,0,0,0,0,0,0,0
S0022369704001908,2,0,0,0,0,0,0,0,0,0,0
S0925346716300192,2,0,0,0,0,0,0,0,0,0,0
S1293255815000357,1,0,0,0,0,0,0,0,0,0,0
S0040609010005900,4,0,0,0,0,0,0,0,0,0,0
S0167273807000549,2,0,0,0,0,0,0,0,0,0,0
S0022311510008585,1,0,0,0,0,0,0,0,0,0,0
S0167577X12003023,1,0,0,0,0,0,0,0,0,0,0
S002223131300269X,1,0,0,0,0,0,0,0,0,0,0
S0022309316300606,3,0,0,0,0,0,0,0,0,0,0
